date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:18:52	68216/68216	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202017%2020:02:15%20GMT	http://aliensix.com/particles-1.4/HTML/index-default-particles.html	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/index-default-particles.html	(from )
14:18:54	70/70	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Jul%202018%2018:18:55%20GMT	http://aliensix.com/robots.txt		(from )
14:18:54	5073/5073	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:19%20GMT	http://aliensix.com/particles-1.4/HTML/css/royal_preloader.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/royal_preloader.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:55	8161/8161	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/royal_preloader.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/royal_preloader.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:57	121200/121200	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:19%20GMT	http://aliensix.com/particles-1.4/HTML/css/bootstrap.min.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/bootstrap.min.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:57	51284/51284	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:19%20GMT	http://aliensix.com/particles-1.4/HTML/css/ionicons.min.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/ionicons.min.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:57	6868/6868	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/parallax.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/parallax.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:57	9742/9742	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:19%20GMT	http://aliensix.com/particles-1.4/HTML/css/pe-icon-7-stroke.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/pe-icon-7-stroke.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:57	7413/7413	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:19%20GMT	http://aliensix.com/particles-1.4/HTML/css/magnific-popup.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/magnific-popup.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:57	1388/1388	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:19%20GMT	http://aliensix.com/particles-1.4/HTML/css/logoiconfont.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/logoiconfont.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:58	86351/86351	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2007%20Jul%202016%2022:01:41%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	C:/Users/Aaryan/Desktop/sellsite/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.0/jquery.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:58	43646/43646	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:20%20GMT	http://aliensix.com/particles-1.4/HTML/css/style.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/style.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:58	2314/2314	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:19%20GMT	http://aliensix.com/particles-1.4/HTML/css/style-switcher.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/style-switcher.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:58	7756/7756	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:39%20GMT	http://aliensix.com/particles-1.4/HTML/css/colors/blue.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/colors/blue.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:59	7753/7753	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:39%20GMT	http://aliensix.com/particles-1.4/HTML/css/colors/green.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/colors/green.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:59	7753/7753	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:40%20GMT	http://aliensix.com/particles-1.4/HTML/css/colors/orange.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/colors/orange.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:59	8109/8109	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:40%20GMT	http://aliensix.com/particles-1.4/HTML/css/colors/red.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/colors/red.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:59	8109/8109	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:40%20GMT	http://aliensix.com/particles-1.4/HTML/css/colors/orangelight.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/colors/orangelight.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:18:59	8108/8108	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:40%20GMT	http://aliensix.com/particles-1.4/HTML/css/colors/pinkish.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/colors/pinkish.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:00	8110/8110	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:40%20GMT	http://aliensix.com/particles-1.4/HTML/css/colors/seagul.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/colors/seagul.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:00	9211/9211	---MCZ	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:02:18%20GMT	http://aliensix.com/particles-1.4/HTML/css/base-light.css	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/css/base-light.css	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:00	50060/50060	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202017%2020:02:14%20GMT	http://aliensix.com/particles-1.4/HTML/components.html	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/components.html	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:00	15923/15923	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202017%2020:02:16%20GMT	http://aliensix.com/particles-1.4/HTML/pricing-options.html	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/pricing-options.html	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:01	21044/21044	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Oct%202017%2020:02:17%20GMT	http://aliensix.com/particles-1.4/HTML/team-options.html	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/team-options.html	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:02	19765/19765	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202017%2020:02:25%20GMT	http://aliensix.com/particles-1.4/HTML/images/placeholder.png	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/placeholder.png	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:04	17139/17139	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202017%2020:02:25%20GMT	http://aliensix.com/particles-1.4/HTML/images/placeholder2.png	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/placeholder2.png	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:04	19857/19857	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202017%2020:02:26%20GMT	http://aliensix.com/particles-1.4/HTML/images/placeholder3.png	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/placeholder3.png	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:10	35661/35661	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:42%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/1.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/1.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:15	64513/64513	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:42%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/2.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/2.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:17	41299/41299	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:42%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/3.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/3.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:23	38002/38002	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:43%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/5.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/5.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:23	136585/136585	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:26%20GMT	http://aliensix.com/particles-1.4/HTML/images/slider1.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/slider1.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:24	56202/56202	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:43%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/4.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/4.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:32	50362/50362	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:43%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/7.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/7.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:34	61791/61791	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:43%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/8.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/8.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:37	88909/88909	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:43%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/6.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/6.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:39	26346/26346	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:28%20GMT	http://aliensix.com/particles-1.4/HTML/images/timeline-1.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/timeline-1.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:43	23185/23185	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:29%20GMT	http://aliensix.com/particles-1.4/HTML/images/timeline-3.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/timeline-3.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:43	35844/35844	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:29%20GMT	http://aliensix.com/particles-1.4/HTML/images/timeline-2.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/timeline-2.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:46	90436/90436	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:44%20GMT	http://aliensix.com/particles-1.4/HTML/images/work/9.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/work/9.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:47	26301/26301	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:29%20GMT	http://aliensix.com/particles-1.4/HTML/images/timeline-4.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/timeline-4.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:52	316845/316845	---M--	200	added ('OK')	image/jpeg	date:Fri,%2027%20Oct%202017%2020:02:27%20GMT	http://aliensix.com/particles-1.4/HTML/images/team-member-1.jpg	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/team-member-1.jpg	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:19:57	25208/25208	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202017%2020:02:41%20GMT	http://aliensix.com/particles-1.4/HTML/images/logos/coca.png	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/logos/coca.png	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:01	22896/22896	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202017%2020:02:41%20GMT	http://aliensix.com/particles-1.4/HTML/images/logos/ebay.png	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/logos/ebay.png	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:05	21733/21733	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202017%2020:02:41%20GMT	http://aliensix.com/particles-1.4/HTML/images/logos/microsoft.png	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/logos/microsoft.png	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:14	22481/22481	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202017%2020:02:41%20GMT	http://aliensix.com/particles-1.4/HTML/images/logos/pepsi.png	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/images/logos/pepsi.png	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:17	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:30%20GMT	http://aliensix.com/particles-1.4/HTML/js/bootstrap.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/bootstrap.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:19	23364/23364	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/particles.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/particles.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:20	1698/1698	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/particlesRun.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/particlesRun.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:23	50986/50986	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/jquery.mixitup.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/jquery.mixitup.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:24	6055/6055	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:30%20GMT	http://aliensix.com/particles-1.4/HTML/js/form-validator.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/form-validator.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
14:20:24	1438/1438	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Oct%202017%2020:02:31%20GMT	http://aliensix.com/particles-1.4/HTML/js/jquery.inview.min.js	C:/Users/Aaryan/Desktop/sellsite/aliensix.com/particles-1.4/HTML/js/jquery.inview.min.js	(from http://aliensix.com/particles-1.4/HTML/index-default-particles.html)
